instance_id,default_gap,default_dualbound,default_time,default_cuts,efficacy_gap,efficacy_dualbound,efficacy_time,efficacy_cuts,raise_cut_gap,raise_cut_dualbound,raise_cut_time,raise_cut_cuts,raise_portfolio_gap,raise_portfolio_dualbound,raise_portfolio_time,raise_portfolio_cuts,raise_portfolio_rc_gap,raise_portfolio_rc_dualbound,raise_portfolio_rc_time,raise_portfolio_rc_cuts,scip_ensemble_gap,scip_ensemble_dualbound,scip_ensemble_time,scip_ensemble_cuts,best_gap_mode
sorrell7,3.5501644736842106,-691.625,13.520026,1039,4.315789473684211,-808.0,4.207021,400,5.154605263157895,-935.5,3.258209,86,5.154605263157895,-935.5,3.10089,86,5.154605263157895,-935.5,3.120628,86,3.5345394736842106,-689.25,14.026890999999999,1028,scip_ensemble
sp97ic,1.2485970132955755,422203266.33299106,9.316291,20,1.2486718477991476,422189215.65153056,6.615795,35,1.2486718477991476,422189215.65153056,6.658485,35,1.2486718477991476,422189215.65153056,6.428796,35,1.2486718477991476,422189215.65153056,6.54077,35,1.2474343315030276,422421687.8653307,10.968835,65,scip_ensemble
sp98ir,0.14447303068741701,217265043.1532216,2.891012,30,0.22295071101979264,217251943.84853667,2.461901,85,0.23062951200103246,217214039.9634555,2.369007,100,0.23062951200103246,217214039.9634555,2.359412,100,0.23062951200103246,217214039.9634555,2.313037,100,0.24034271839708002,217221880.37527987,2.418227,81,default
square37,9.0,4.0,30.000642,0,9.0,4.0,30.000272,0,9.0,4.0,30.000862,0,9.0,4.0,30.000959,0,9.0,4.0,30.00131,0,9.0,4.0,30.000734,0,default
stoch-vrpvrp-s5v2c8vrp-v2c8i,72.37499999999999,8.000000000000002,25.873073,1169,,0.0,20.538676,400,,0.0,18.608821,400,72.37499999999999,8.000000000000002,25.650467,1169,72.37499999999999,8.000000000000002,26.201026,1169,72.37499999999999,8.000000000000002,25.477934,1169,default
supportcase16,0.02143416319560278,282.9355140186916,0.06591799999999999,23,0.01691419141914188,285.1764705882353,0.15911,397,0.008726003490401396,286.5,0.147917,262,0.008726003490401396,286.5,0.153526,262,0.008726003490401396,286.5,0.148968,262,0.024104283246086718,284.15074984123885,0.068145,79,raise_cut
supportcase23,,-12952.0,30.058303,639,,-12952.0,30.063074,400,,-12952.0,30.052533,400,,-12952.0,30.057255,639,,-12952.0,30.054054,639,,-12952.0,30.061937,639,
supportcase27i,41987046.22261538,0.000104627505161492,1.6120670000000001,253,,0.0,1.600001,400,,0.0,1.6897440000000001,276,41987046.22261538,0.000104627505161492,1.65667,253,41987046.22261538,0.000104627505161492,1.669738,253,41987046.22261538,0.000104627505161492,1.751894,253,default
supportcase41,,28.0,21.651997,239,,28.0,26.441312,400,,28.0,25.400367,400,,28.0,25.942833,400,,28.0,23.743712,549,,28.0,23.561177999999998,549,
swath2,0.463711209985311,345.65593865,2.144375,75,0.31434245373890557,340.71190425,2.074104,176,0.31434245373890557,340.71190425,2.079572,165,0.31434245373890557,340.71190425,2.081301,165,0.31434245373890557,340.71190425,2.164856,165,0.3143425247194089,340.71188585,2.261429,178,efficacy
tanglegram4,89.42857142857143,119.0,24.398293,87,95.18770949720671,111.87499999999999,30.006247,312,91.00712504453152,116.95833333333333,15.428607,35,91.00712504453152,116.95833333333333,15.220274,35,91.00712504453152,116.95833333333333,15.173229,35,89.42857142857143,119.0,23.976321,87,default
tokyometro,3.5949781883194625,4508.378310186557,2.023474,805,5.010159763092577,3454.5337925121175,2.025478,400,5.010159763092577,3454.5337925121175,2.016796,400,5.010159763092577,3454.5337925121175,2.071148,400,5.010159763092577,3454.5337925121175,2.039481,400,3.5949781883194625,4508.378310186557,2.056113,805,default
tw-myciel4,1.4,5.0,4.602887,57,1.4,5.0,5.589302,399,1.4,5.0,5.612499,399,1.4,5.0,5.558651,399,1.4,5.0,5.478035,399,1.4,5.0,4.402738,57,default
uc720-7-4-4-8,,-1e+20,30.224111,0,,-1e+20,31.341443,0,,-1e+20,30.618665,0,,-1e+20,30.759841,0,,-1e+20,30.069999,0,,-1e+20,30.480185,0,
umts,0.15124266675874282,29140918.73823024,1.764544,115,0.04837261253617257,29141053.128136627,2.262465,395,0.15118915117379683,29142273.418571476,2.544557,351,0.15118915117379683,29142273.418571476,2.552149,351,0.15118915117379683,29142273.418571476,2.506629,351,0.1510782722644578,29145080.580838516,2.5051829999999997,584,efficacy
vpphard,,0.0,30.001278,67,,0.0,30.000798,101,,0.0,30.00959,86,,0.0,29.732477,86,,0.0,30.002819,86,,0.0,30.0003,99,
xmas10,,-531.1029198340607,5.20878,178,,-530.1421249867976,7.432897,400,,-530.5632010160115,8.193463,400,,-530.5632010160115,8.077644,400,,-530.5632010160115,8.082651,400,,-531.1029198340607,5.00073,178,
zeil,859.8413614653774,2.5119999999988067,30.002061,0,859.8413614653774,2.5119999999988067,30.007547,0,859.8413614653774,2.5119999999988067,30.004351,0,859.8413614653774,2.5119999999988067,30.00339,0,859.8413614653774,2.5119999999988067,30.004154,0,859.8413614653774,2.5119999999988067,30.023844,0,default
