instance_name,strategy,budget,seed,status,has_solution,incumbent_standardized,optimum,gap_vs_opt,wall_seconds
air05,depth_first,300.0,1,integer optimal solution,True,26374.0,26374.0,0.0,8.33
air05,depth_first,300.0,2,"integer optimal, tolerance",True,26374.0,26374.0,0.0,7.7
air05,depth_first,60.0,0,integer optimal solution,True,26374.0,26374.0,0.0,9.86
air05,depth_first,60.0,1,integer optimal solution,True,26374.0,26374.0,0.0,8.31
air05,depth_first,60.0,2,"integer optimal, tolerance",True,26374.0,26374.0,0.0,7.5
air05,depth_first,900.0,0,integer optimal solution,True,26374.0,26374.0,0.0,10.21
air05,depth_first,900.0,1,integer optimal solution,True,26374.0,26374.0,0.0,8.51
air05,depth_first,900.0,2,"integer optimal, tolerance",True,26374.0,26374.0,0.0,7.48
atlanta-ip,auto,10.0,0,"time limit exceeded, no integer solution",False,,90.009878614,,10.11
atlanta-ip,auto,10.0,1,time limit exceeded,True,108.01032456480976,90.009878614,0.1999830043989194,10.04
atlanta-ip,auto,10.0,2,time limit exceeded,True,105.01040367440979,90.009878614,0.16665420830904915,10.04
atlanta-ip,auto,300.0,0,time limit exceeded,True,93.0097858411898,90.009878614,0.03332864429308533,300.04
atlanta-ip,auto,300.0,1,time limit exceeded,True,93.00997187677984,90.009878614,0.033330711128336216,300.1
atlanta-ip,auto,300.0,2,time limit exceeded,True,91.01004945731984,90.009878614,0.01111178971376005,300.04
atlanta-ip,auto,60.0,0,time limit exceeded,True,93.0098083095498,90.009878614,0.03332889391413078,60.04
atlanta-ip,auto,60.0,1,time limit exceeded,True,94.00994413174985,90.009878614,0.0444402945470441,60.04
atlanta-ip,auto,60.0,2,time limit exceeded,True,95.01021987861978,90.009878614,0.055553249727880775,60.04
atlanta-ip,auto,900.0,0,time limit exceeded,True,91.00997589489984,90.009878614,0.011110972443243395,899.99
atlanta-ip,auto,900.0,1,time limit exceeded,True,91.00997516922985,90.009878614,0.011110964381128404,900.03
atlanta-ip,auto,900.0,2,time limit exceeded,True,91.00981808208984,90.009878614,0.01110921916002124,900.04
atlanta-ip,best_bound,10.0,0,"time limit exceeded, no integer solution",False,,90.009878614,,10.04
atlanta-ip,best_bound,10.0,1,time limit exceeded,True,108.01032456480976,90.009878614,0.1999830043989194,10.04
atlanta-ip,best_bound,10.0,2,time limit exceeded,True,105.01040367440979,90.009878614,0.16665420830904915,10.04
atlanta-ip,best_bound,300.0,0,time limit exceeded,True,94.00979895374977,90.009878614,0.044438681635191345,300.04
atlanta-ip,best_bound,300.0,1,time limit exceeded,True,93.00985161437984,90.009878614,0.03332937502610105,300.1
atlanta-ip,best_bound,300.0,2,time limit exceeded,True,92.00980373026978,90.009878614,0.022218951375840578,300.04
atlanta-ip,best_bound,60.0,0,time limit exceeded,True,95.00962197918984,90.009878614,0.05554660712998885,60.04
atlanta-ip,best_bound,60.0,1,time limit exceeded,True,94.00994413174985,90.009878614,0.0444402945470441,60.04
atlanta-ip,best_bound,60.0,2,time limit exceeded,True,105.01040367440979,90.009878614,0.16665420830904915,60.04
atlanta-ip,best_bound,900.0,0,time limit exceeded,True,93.00997492335983,90.009878614,0.03333074497550986,899.98
atlanta-ip,best_bound,900.0,1,time limit exceeded,True,90.00987861439978,90.009878614,4.441509876515727e-12,900.03
atlanta-ip,best_bound,900.0,2,time limit exceeded,True,92.0098699028798,90.009878614,0.02221968654636895,900.04
atlanta-ip,best_estimate,10.0,0,"time limit exceeded, no integer solution",False,,90.009878614,,10.1
atlanta-ip,best_estimate,10.0,1,time limit exceeded,True,108.01032456480976,90.009878614,0.1999830043989194,10.04
atlanta-ip,best_estimate,10.0,2,time limit exceeded,True,105.01040367440979,90.009878614,0.16665420830904915,10.04
atlanta-ip,best_estimate,300.0,0,time limit exceeded,True,94.00980115094977,90.009878614,0.04443870604584535,300.03
atlanta-ip,best_estimate,300.0,1,time limit exceeded,True,91.01005002890983,90.009878614,0.01111179606406295,300.1
atlanta-ip,best_estimate,300.0,2,time limit exceeded,True,92.00980373026978,90.009878614,0.022218951375840578,300.04
atlanta-ip,best_estimate,60.0,0,time limit exceeded,True,95.00962197918984,90.009878614,0.05554660712998885,60.04
atlanta-ip,best_estimate,60.0,1,time limit exceeded,True,93.01004692614983,90.009878614,0.0333315449187061,60.04
atlanta-ip,best_estimate,60.0,2,time limit exceeded,True,98.00968875228985,90.009878614,0.08887702396085186,60.04
atlanta-ip,best_estimate,900.0,0,time limit exceeded,True,92.00980373026978,90.009878614,0.022218951375840578,899.98
atlanta-ip,best_estimate,900.0,1,time limit exceeded,True,91.00997516922985,90.009878614,0.011110964381128404,900.03
atlanta-ip,best_estimate,900.0,2,time limit exceeded,True,92.00980373026978,90.009878614,0.022218951375840578,900.04
atlanta-ip,depth_first,10.0,0,"time limit exceeded, no integer solution",False,,90.009878614,,10.12
atlanta-ip,depth_first,10.0,1,time limit exceeded,True,108.01032456480976,90.009878614,0.1999830043989194,10.04
atlanta-ip,depth_first,10.0,2,"time limit exceeded, no integer solution",False,,90.009878614,,10.04
atlanta-ip,depth_first,300.0,0,time limit exceeded,True,92.00980470903977,90.009878614,0.022218962249869127,300.03
atlanta-ip,depth_first,300.0,1,time limit exceeded,True,92.00982440274986,90.009878614,0.02221918104485463,300.1
atlanta-ip,depth_first,300.0,2,time limit exceeded,True,93.00987582062982,90.009878614,0.03332964395491585,300.04
atlanta-ip,depth_first,60.0,0,time limit exceeded,True,95.00962197918984,90.009878614,0.05554660712998885,60.04
atlanta-ip,depth_first,60.0,1,time limit exceeded,True,94.00994413174985,90.009878614,0.0444402945470441,60.04
atlanta-ip,depth_first,60.0,2,time limit exceeded,True,105.01040367440979,90.009878614,0.16665420830904915,60.04
atlanta-ip,depth_first,900.0,0,time limit exceeded,True,92.00980470903977,90.009878614,0.022218962249869127,899.98
atlanta-ip,depth_first,900.0,1,"integer optimal, tolerance",True,90.00987861439978,90.009878614,4.441509876515727e-12,856.5
atlanta-ip,depth_first,900.0,2,time limit exceeded,True,93.0098684247498,90.009878614,0.03332956178749009,900.04
csched007,auto,10.0,0,time limit exceeded,True,570.0,350.9999999999955,0.6239316239316447,10.01
csched007,auto,10.0,1,time limit exceeded,True,533.0,350.9999999999955,0.5185185185185379,10.0
csched007,auto,10.0,2,time limit exceeded,True,581.0,350.9999999999955,0.6552706552706764,10.0
csched007,auto,300.0,0,time limit exceeded,True,373.0,350.9999999999955,0.06267806267807627,300.0
csched007,auto,300.0,1,time limit exceeded,True,399.0,350.9999999999955,0.13675213675215128,300.02
csched007,auto,300.0,2,time limit exceeded,True,468.0,350.9999999999955,0.3333333333333504,300.02
csched007,auto,60.0,0,time limit exceeded,True,461.99999999999454,350.9999999999955,0.31623931623931756,60.0
csched007,auto,60.0,1,time limit exceeded,True,456.0,350.9999999999955,0.2991452991453158,60.01
csched007,auto,60.0,2,time limit exceeded,True,508.0,350.9999999999955,0.4472934472934658,60.01
csched007,auto,900.0,0,time limit exceeded,True,419.0,350.9999999999955,0.193732193732209,899.98
csched007,auto,900.0,1,time limit exceeded,True,368.9999999999964,350.9999999999955,0.05128205128205453,899.98
csched007,auto,900.0,2,time limit exceeded,True,356.00000000000176,350.9999999999955,0.014245014245032241,899.98
csched007,best_bound,10.0,0,time limit exceeded,True,416.0,350.9999999999955,0.18518518518520036,10.0
csched007,best_bound,10.0,1,time limit exceeded,True,456.99999999999795,350.9999999999955,0.3019943019943128,10.01
csched007,best_bound,10.0,2,time limit exceeded,True,438.0,350.9999999999955,0.24786324786326383,10.01
csched007,best_bound,300.0,0,integer optimal solution,True,350.99999999999864,350.9999999999955,8.907088425482852e-15,172.92
csched007,best_bound,300.0,1,integer optimal solution,True,350.99999999998175,350.9999999999955,-3.9191189072124545e-14,205.19
csched007,best_bound,300.0,2,integer optimal solution,True,351.00000000391015,350.9999999999955,1.11528083381405e-11,198.66
csched007,best_bound,60.0,0,time limit exceeded,True,357.9999999999786,350.9999999999955,0.0199430199429721,60.0
csched007,best_bound,60.0,1,time limit exceeded,True,366.0,350.9999999999955,0.04273504273505607,60.0
csched007,best_bound,60.0,2,time limit exceeded,True,383.9999999999867,350.9999999999955,0.09401709401707012,60.0
csched007,best_bound,900.0,0,integer optimal solution,True,350.99999999999864,350.9999999999955,8.907088425482852e-15,173.31
csched007,best_bound,900.0,1,integer optimal solution,True,350.99999999998175,350.9999999999955,-3.9191189072124545e-14,205.21
csched007,best_bound,900.0,2,integer optimal solution,True,351.00000000391015,350.9999999999955,1.11528083381405e-11,199.29
csched007,best_estimate,10.0,0,time limit exceeded,True,376.0,350.9999999999955,0.07122507122508492,10.0
csched007,best_estimate,10.0,1,time limit exceeded,True,426.0,350.9999999999955,0.2136752136752292,10.01
csched007,best_estimate,10.0,2,time limit exceeded,True,472.0,350.9999999999955,0.34472934472936195,10.0
csched007,best_estimate,300.0,0,integer optimal solution,True,350.9999999999959,350.9999999999955,1.1336294359705448e-15,227.07
csched007,best_estimate,300.0,1,integer optimal solution,True,350.9999999999268,350.9999999999955,-1.9579399829834123e-13,146.64
csched007,best_estimate,300.0,2,time limit exceeded,True,351.00000000000625,350.9999999999955,3.0607994771204706e-14,300.01
csched007,best_estimate,60.0,0,time limit exceeded,True,357.0,350.9999999999955,0.017094017094030106,60.0
csched007,best_estimate,60.0,1,time limit exceeded,True,352.0,350.9999999999955,0.002849002849015679,60.0
csched007,best_estimate,60.0,2,time limit exceeded,True,367.0,350.9999999999955,0.045584045584058965,60.01
csched007,best_estimate,900.0,0,integer optimal solution,True,350.9999999999959,350.9999999999955,1.1336294359705448e-15,227.26
csched007,best_estimate,900.0,1,integer optimal solution,True,350.9999999999268,350.9999999999955,-1.9579399829834123e-13,147.17
csched007,best_estimate,900.0,2,time limit exceeded,True,351.00000000000625,350.9999999999955,3.0607994771204706e-14,900.06
csched007,depth_first,10.0,0,time limit exceeded,True,424.0,350.9999999999955,0.20797720797722344,10.0
csched007,depth_first,10.0,1,"time limit exceeded, no integer solution",False,,350.9999999999955,,10.01
csched007,depth_first,10.0,2,"time limit exceeded, no integer solution",False,,350.9999999999955,,10.0
csched007,depth_first,300.0,0,integer optimal solution,True,350.9999999886727,350.9999999999955,-3.22587211770401e-11,299.41
csched007,depth_first,300.0,1,integer optimal solution,True,350.9999999991537,350.9999999999955,-2.398274045326828e-12,272.23
csched007,depth_first,300.0,2,time limit exceeded,True,355.99999999999534,350.9999999999955,0.014245014245013942,300.01
csched007,depth_first,60.0,0,time limit exceeded,True,356.0,350.9999999999955,0.014245014245027221,60.01
csched007,depth_first,60.0,1,time limit exceeded,True,401.99999999998505,350.9999999999955,0.14529914529911736,60.01
