instance,budget,policy,mean_gap,oracle_gap,regret,winner
csched007,300,instance_aware_portfolio,0.46153846153847633,0.46153846153847633,0.0,safeguarded_hybrid
csched007,300,multi_feature_portfolio,0.46153846153847633,0.46153846153847633,0.0,safeguarded_hybrid
csched007,300,learned_portfolio,0.46153846153847633,0.46153846153847633,0.0,safeguarded_hybrid
csched007,900,best_bound,0.46153846153847633,0.46153846153847633,0.0,safeguarded_hybrid
csched007,900,depth_first,0.46153846153847633,0.46153846153847633,0.0,safeguarded_hybrid
csched007,900,hybrid_best_bound_depth,0.46153846153847633,0.46153846153847633,0.0,safeguarded_hybrid
csched007,900,greedy_score,0.46153846153847633,0.46153846153847633,0.0,safeguarded_hybrid
csched007,900,random_uniform,0.46153846153847633,0.46153846153847633,0.0,safeguarded_hybrid
csched007,900,best_estimate,0.46153846153847633,0.46153846153847633,0.0,safeguarded_hybrid
csched007,900,boltzmann_adaptive,0.46153846153847633,0.46153846153847633,0.0,safeguarded_hybrid
csched007,900,safeguarded_hybrid,0.46153846153847633,0.46153846153847633,0.0,safeguarded_hybrid
csched007,900,budgeted_portfolio,0.46153846153847633,0.46153846153847633,0.0,safeguarded_hybrid
csched007,900,instance_aware_portfolio,0.46153846153847633,0.46153846153847633,0.0,safeguarded_hybrid
csched007,900,multi_feature_portfolio,0.46153846153847633,0.46153846153847633,0.0,safeguarded_hybrid
csched007,900,learned_portfolio,0.46153846153847633,0.46153846153847633,0.0,safeguarded_hybrid
csched008,10,best_bound,0.07514450867052022,0.05202312138728324,0.023121387283236983,hybrid_best_bound_depth
csched008,10,depth_first,0.06069364161849711,0.05202312138728324,0.008670520231213869,hybrid_best_bound_depth
csched008,10,hybrid_best_bound_depth,0.05202312138728324,0.05202312138728324,0.0,hybrid_best_bound_depth
csched008,10,greedy_score,0.07514450867052022,0.05202312138728324,0.023121387283236983,hybrid_best_bound_depth
csched008,10,random_uniform,0.07514450867052022,0.05202312138728324,0.023121387283236983,hybrid_best_bound_depth
csched008,10,best_estimate,0.07514450867052022,0.05202312138728324,0.023121387283236983,hybrid_best_bound_depth
csched008,10,boltzmann_adaptive,0.07514450867052022,0.05202312138728324,0.023121387283236983,hybrid_best_bound_depth
csched008,10,safeguarded_hybrid,0.07514450867052022,0.05202312138728324,0.023121387283236983,hybrid_best_bound_depth
csched008,10,budgeted_portfolio,0.07514450867052022,0.05202312138728324,0.023121387283236983,hybrid_best_bound_depth
csched008,10,instance_aware_portfolio,0.07514450867052022,0.05202312138728324,0.023121387283236983,hybrid_best_bound_depth
csched008,10,multi_feature_portfolio,0.07514450867052022,0.05202312138728324,0.023121387283236983,hybrid_best_bound_depth
csched008,10,learned_portfolio,0.07514450867052022,0.05202312138728324,0.023121387283236983,hybrid_best_bound_depth
csched008,60,best_bound,0.07514450867052022,0.05202312138728324,0.023121387283236983,hybrid_best_bound_depth
csched008,60,depth_first,0.06069364161849711,0.05202312138728324,0.008670520231213869,hybrid_best_bound_depth
csched008,60,hybrid_best_bound_depth,0.05202312138728324,0.05202312138728324,0.0,hybrid_best_bound_depth
csched008,60,greedy_score,0.0838150289017341,0.05202312138728324,0.031791907514450865,hybrid_best_bound_depth
csched008,60,random_uniform,0.09248554913294782,0.05202312138728324,0.04046242774566458,hybrid_best_bound_depth
csched008,60,best_estimate,0.08670520231213857,0.05202312138728324,0.034682080924855335,hybrid_best_bound_depth
csched008,60,boltzmann_adaptive,0.08092485549132947,0.05202312138728324,0.02890173410404623,hybrid_best_bound_depth
csched008,60,safeguarded_hybrid,0.09248554913294782,0.05202312138728324,0.04046242774566458,hybrid_best_bound_depth
csched008,60,budgeted_portfolio,0.08092485549132947,0.05202312138728324,0.02890173410404623,hybrid_best_bound_depth
csched008,60,instance_aware_portfolio,0.08092485549132947,0.05202312138728324,0.02890173410404623,hybrid_best_bound_depth
csched008,60,multi_feature_portfolio,0.08092485549132947,0.05202312138728324,0.02890173410404623,hybrid_best_bound_depth
csched008,60,learned_portfolio,0.08092485549132947,0.05202312138728324,0.02890173410404623,hybrid_best_bound_depth
csched008,300,best_bound,0.06936416184971098,0.05202312138728324,0.017341040462427737,hybrid_best_bound_depth
csched008,300,depth_first,0.06069364161849711,0.05202312138728324,0.008670520231213869,hybrid_best_bound_depth
csched008,300,hybrid_best_bound_depth,0.05202312138728324,0.05202312138728324,0.0,hybrid_best_bound_depth
csched008,300,greedy_score,0.0838150289017341,0.05202312138728324,0.031791907514450865,hybrid_best_bound_depth
csched008,300,random_uniform,0.09248554913294782,0.05202312138728324,0.04046242774566458,hybrid_best_bound_depth
csched008,300,best_estimate,0.08670520231213857,0.05202312138728324,0.034682080924855335,hybrid_best_bound_depth
csched008,300,boltzmann_adaptive,0.08092485549132947,0.05202312138728324,0.02890173410404623,hybrid_best_bound_depth
csched008,300,safeguarded_hybrid,0.09248554913294782,0.05202312138728324,0.04046242774566458,hybrid_best_bound_depth
