instance,policy,budget,seed,resolved_policy,resolution_reason,source_run_id,status,incumbent,ttff,elapsed,gap_vs_opt
air05,multi_feature_portfolio,300,2,best_estimate,budget>180,p45_air05_best_estimate_b300_s2_1787998255,node_limit,26611.0,0.21643495798343793,34.4398594579543,
air05,budgeted_portfolio,900,0,best_estimate,budget>180,p45_air05_best_estimate_b900_s0_1787998308,node_limit,26611.0,0.21040608297334984,34.989042832981795,
air05,instance_aware_portfolio,900,0,best_estimate,budget>180,p45_air05_best_estimate_b900_s0_1787998308,node_limit,26611.0,0.21040608297334984,34.989042832981795,
air05,multi_feature_portfolio,900,0,best_estimate,budget>180,p45_air05_best_estimate_b900_s0_1787998308,node_limit,26611.0,0.21040608297334984,34.989042832981795,
air05,budgeted_portfolio,900,1,best_estimate,budget>180,p45_air05_best_estimate_b900_s1_1787998358,node_limit,26611.0,0.2149830000125803,34.675561083015054,
air05,instance_aware_portfolio,900,1,best_estimate,budget>180,p45_air05_best_estimate_b900_s1_1787998358,node_limit,26611.0,0.2149830000125803,34.675561083015054,
air05,multi_feature_portfolio,900,1,best_estimate,budget>180,p45_air05_best_estimate_b900_s1_1787998358,node_limit,26611.0,0.2149830000125803,34.675561083015054,
air05,budgeted_portfolio,900,2,best_estimate,budget>180,p45_air05_best_estimate_b900_s2_1787998403,node_limit,26611.0,0.21624720800900832,34.75305808300618,
air05,instance_aware_portfolio,900,2,best_estimate,budget>180,p45_air05_best_estimate_b900_s2_1787998403,node_limit,26611.0,0.21624720800900832,34.75305808300618,
air05,multi_feature_portfolio,900,2,best_estimate,budget>180,p45_air05_best_estimate_b900_s2_1787998403,node_limit,26611.0,0.21624720800900832,34.75305808300618,
atlanta-ip,budgeted_portfolio,10,0,boltzmann_adaptive,budget<=180,p45_atlanta-ip_boltzmann_adaptive_b10_s0_1787998444,time_limit,,,12.094293667003512,
atlanta-ip,instance_aware_portfolio,10,0,boltzmann_adaptive,frac_count=2069<5000,p45_atlanta-ip_boltzmann_adaptive_b10_s0_1787998444,time_limit,,,12.094293667003512,
atlanta-ip,multi_feature_portfolio,10,0,boltzmann_adaptive,votes=1/4,p45_atlanta-ip_boltzmann_adaptive_b10_s0_1787998444,time_limit,,,12.094293667003512,
atlanta-ip,budgeted_portfolio,10,1,boltzmann_adaptive,budget<=180,p45_atlanta-ip_boltzmann_adaptive_b10_s1_1787998462,time_limit,,,12.081846625020262,
atlanta-ip,instance_aware_portfolio,10,1,boltzmann_adaptive,frac_count=2069<5000,p45_atlanta-ip_boltzmann_adaptive_b10_s1_1787998462,time_limit,,,12.081846625020262,
atlanta-ip,multi_feature_portfolio,10,1,boltzmann_adaptive,votes=1/4,p45_atlanta-ip_boltzmann_adaptive_b10_s1_1787998462,time_limit,,,12.081846625020262,
atlanta-ip,budgeted_portfolio,10,2,boltzmann_adaptive,budget<=180,p45_atlanta-ip_boltzmann_adaptive_b10_s2_1787998476,time_limit,,,12.135460041987244,
atlanta-ip,instance_aware_portfolio,10,2,boltzmann_adaptive,frac_count=2069<5000,p45_atlanta-ip_boltzmann_adaptive_b10_s2_1787998476,time_limit,,,12.135460041987244,
atlanta-ip,multi_feature_portfolio,10,2,boltzmann_adaptive,votes=1/4,p45_atlanta-ip_boltzmann_adaptive_b10_s2_1787998476,time_limit,,,12.135460041987244,
atlanta-ip,budgeted_portfolio,60,0,boltzmann_adaptive,budget<=180,p45_atlanta-ip_boltzmann_adaptive_b60_s0_1787998541,time_limit,,,60.01614949997747,
atlanta-ip,instance_aware_portfolio,60,0,boltzmann_adaptive,frac_count=2069<5000,p45_atlanta-ip_boltzmann_adaptive_b60_s0_1787998541,time_limit,,,60.01614949997747,
atlanta-ip,multi_feature_portfolio,60,0,boltzmann_adaptive,votes=1/4,p45_atlanta-ip_boltzmann_adaptive_b60_s0_1787998541,time_limit,,,60.01614949997747,
atlanta-ip,budgeted_portfolio,60,1,boltzmann_adaptive,budget<=180,p45_atlanta-ip_boltzmann_adaptive_b60_s1_1787998606,time_limit,,,60.017182749987114,
atlanta-ip,instance_aware_portfolio,60,1,boltzmann_adaptive,frac_count=2069<5000,p45_atlanta-ip_boltzmann_adaptive_b60_s1_1787998606,time_limit,,,60.017182749987114,
atlanta-ip,multi_feature_portfolio,60,1,boltzmann_adaptive,votes=1/4,p45_atlanta-ip_boltzmann_adaptive_b60_s1_1787998606,time_limit,,,60.017182749987114,
atlanta-ip,budgeted_portfolio,60,2,boltzmann_adaptive,budget<=180,p45_atlanta-ip_boltzmann_adaptive_b60_s2_1787998669,time_limit,,,60.01759929198306,
