instance,policy,budget,seed,status,status_family,incumbent,optimum,gap_vs_opt,final_gap,nodes,ttff,elapsed,root_fractional_count,root_fractional_ratio,root_integer_variable_count,root_solve_seconds,root_integrality_gap_l1,root_binary_near_integral_ratio,root_binary_midpoint_ratio
academictimetablesmall,boltzmann_adaptive,900,0,node_limit,node_limit,,0.0,,,401,,96.00992066704202,4991,0.1725437322823757,28926,7.015708291961346,0.014855599880935308,0.9613150798589504,0.027172785729101846
academictimetablesmall,boltzmann_adaptive,900,1,node_limit,node_limit,,0.0,,,401,,96.09435808303533,5250,0.1814976146027795,28926,7.03502795798704,0.014538896733832463,0.9605199474521192,0.026550508193320888
academictimetablesmall,boltzmann_adaptive,900,2,node_limit,node_limit,,0.0,,,401,,94.46476308302954,5258,0.18177418239645993,28926,7.007661041978281,0.014922302349535189,0.9589988245868769,0.027172785729101846
academictimetablesmall,depth_first,10,0,time_limit,time_limit,,0.0,,,15,,10.053427208971698,4991,0.1725437322823757,28926,6.987670250004157,0.014855599880935308,0.9613150798589504,0.027172785729101846
academictimetablesmall,depth_first,10,1,time_limit,time_limit,,0.0,,,13,,10.00140016595833,5250,0.1814976146027795,28926,6.995685333036818,0.014538896733832463,0.9605199474521192,0.026550508193320888
academictimetablesmall,depth_first,10,2,time_limit,time_limit,,0.0,,,15,,10.003578290983569,5258,0.18177418239645993,28926,6.989311583980452,0.014922302349535189,0.9589988245868769,0.027172785729101846
academictimetablesmall,depth_first,300,0,node_limit,node_limit,,0.0,,,401,,89.94549524999456,4991,0.1725437322823757,28926,7.001626083976589,0.014855599880935308,0.9613150798589504,0.027172785729101846
academictimetablesmall,depth_first,300,1,node_limit,node_limit,,0.0,,,401,,94.39442775002681,5250,0.1814976146027795,28926,6.999601749994326,0.014538896733832463,0.9605199474521192,0.026550508193320888
academictimetablesmall,depth_first,300,2,node_limit,node_limit,,0.0,,,401,,79.06054395897081,5258,0.18177418239645993,28926,7.001997999963351,0.014922302349535189,0.9589988245868769,0.027172785729101846
academictimetablesmall,depth_first,60,0,time_limit,time_limit,,0.0,,,243,,60.00619537499733,4991,0.1725437322823757,28926,7.007532958989032,0.014855599880935308,0.9613150798589504,0.027172785729101846
academictimetablesmall,depth_first,60,1,time_limit,time_limit,,0.0,,,235,,60.08440845803125,5250,0.1814976146027795,28926,7.006429374974687,0.014538896733832463,0.9605199474521192,0.026550508193320888
academictimetablesmall,depth_first,60,2,time_limit,time_limit,,0.0,,,277,,60.00635187502485,5258,0.18177418239645993,28926,6.996161542017944,0.014922302349535189,0.9589988245868769,0.027172785729101846
academictimetablesmall,depth_first,900,0,node_limit,node_limit,,0.0,,,401,,89.66329950001091,4991,0.1725437322823757,28926,7.007395749969874,0.014855599880935308,0.9613150798589504,0.027172785729101846
academictimetablesmall,depth_first,900,1,node_limit,node_limit,,0.0,,,401,,94.30750329099828,5250,0.1814976146027795,28926,7.021530625002924,0.014538896733832463,0.9605199474521192,0.026550508193320888
academictimetablesmall,depth_first,900,2,node_limit,node_limit,,0.0,,,401,,79.94668633397669,5258,0.18177418239645993,28926,7.039095249958336,0.014922302349535189,0.9589988245868769,0.027172785729101846
academictimetablesmall,greedy_score,10,0,time_limit,time_limit,,0.0,,,15,,10.005730999982916,4991,0.1725437322823757,28926,6.99478279100731,0.014855599880935308,0.9613150798589504,0.027172785729101846
academictimetablesmall,greedy_score,10,1,time_limit,time_limit,,0.0,,,13,,10.001398041960783,5250,0.1814976146027795,28926,7.023227791010868,0.014538896733832463,0.9605199474521192,0.026550508193320888
academictimetablesmall,greedy_score,10,2,time_limit,time_limit,,0.0,,,15,,10.00314858398633,5258,0.18177418239645993,28926,7.001462208980229,0.014922302349535189,0.9589988245868769,0.027172785729101846
academictimetablesmall,greedy_score,300,0,node_limit,node_limit,,0.0,,,401,,96.6133049170021,4991,0.1725437322823757,28926,6.994933291978668,0.014855599880935308,0.9613150798589504,0.027172785729101846
academictimetablesmall,greedy_score,300,1,node_limit,node_limit,,0.0,,,401,,94.11972324998351,5250,0.1814976146027795,28926,6.992620917037129,0.014538896733832463,0.9605199474521192,0.026550508193320888
academictimetablesmall,greedy_score,300,2,node_limit,node_limit,,0.0,,,401,,95.72645741701126,5258,0.18177418239645993,28926,7.003738125029486,0.014922302349535189,0.9589988245868769,0.027172785729101846
academictimetablesmall,greedy_score,60,0,time_limit,time_limit,,0.0,,,235,,60.00959050003439,4991,0.1725437322823757,28926,7.000105292012449,0.014855599880935308,0.9613150798589504,0.027172785729101846
academictimetablesmall,greedy_score,60,1,time_limit,time_limit,,0.0,,,237,,60.00131262501236,5250,0.1814976146027795,28926,7.005001250014175,0.014538896733832463,0.9605199474521192,0.026550508193320888
academictimetablesmall,greedy_score,60,2,time_limit,time_limit,,0.0,,,239,,60.01319262501784,5258,0.18177418239645993,28926,7.006733875023201,0.014922302349535189,0.9589988245868769,0.027172785729101846
academictimetablesmall,greedy_score,900,0,node_limit,node_limit,,0.0,,,401,,96.50039595802082,4991,0.1725437322823757,28926,6.965753750002477,0.014855599880935308,0.9613150798589504,0.027172785729101846
